Rank,Name,Company,Volume,Sides,City,State
1,Ben Caballero,"HomesUSA.com, Inc.",$3.92B,"7,722",Dallas,TX
2,Deborah Kern,Corcoran,$1.12B,122,Manhattan,NY
3,Christian Angle,Christian Angle Real Estate,$792.35M,35,Palm Beach,FL
4,Jonathan Minerick,homecoin.com,$764.81M,"1,556",San Diego,CA
5,Drew Fenton,Carolwood Estates,$750.00M,31,Beverly Hills,CA
6,Steven Koleno,Beycome Brokerage Realty,$703.65M,"2,088",Chicago,IL
7,Thomas Ullrich,RE/MAX Professionals,$665.07M,1035.5,Englewood,CO
8,David Roberts,Royal Palm Properties,$623.88M,51,Boca Raton,FL
9,Chris Cortazzo,Compass,$596.93M,58,Malibu,CA
10,Tracy Campion,Campion and Company,$528.16M,83,Boston,MA
11,Suzanne Frisbie,Corcoran,$481.22M,29,Palm Beach,FL
12,Ginger Glass,Compass,$470.01M,99,Beverly Hills,CA
13,Tomer Fridman,Christie's International Real Estate Southern California,$424.27M,142,Beverly Hills,CA
14,Serena Boardman,"Sotheby's International Realty, Inc.",$403.47M,33,New York,NY
15,Rafael Arias,ONE Sotheby's International Realty,$400.00M,2,Miami Beach,FL
16,Carrie Wells,Coldwell Banker Mason Morse,$364.80M,23,Aspen,CO
17,Katrina Barrett,Walt Danley Local Luxury Christie's International Real Estate,$362.93M,103,Phoenix,AZ
18,Maggie Gold Seelig,MGS Group Real Estate LTD,$362.41M,58,Boston,MA
19,Dina Goldentayer,Douglas Elliman,$362.36M,28.7,Miami,FL
20,Margit Brandt,Premier Estate Properties,$351.84M,11,Palm Beach,FL
21,Janet Chen,Keller Williams Palos Verdes Realty,$347.31M,34,Rolling Hills Estates,CA
22,Martha Johnson,Aperture Global Real Estate,$346.87M,50,Big Sky,MT
23,Stanley Lo,Green Banker,$330.52M,113,Burlingame,CA
24,Keri Nicholas,Parc Agency,$324.23M,61,Menlo Park,CA
25,Cooper Mount,Carolwood Estates,$323.00M,16,Beverly Hills,CA
26,Cindy Ambuehl,Christie's International Real Estate Southern California,$315.85M,33.5,Los Angeles,CA
27,Lex Tarumianz,Aspen Snowmass Sotheby's International Realty,$304.96M,96,Aspen,CO
28,Patrick Dunn,Sea Island Properties,$297.25M,60.5,Saint Simons Island,GA
29,Jade Mills,Coldwell Banker Realty,$287.98M,41,Beverly Hills,CA
30,Casey Lesher,Christie's International Real Estate Southern California,$259.29M,68,Corona Del Mar,CA
31,Steven Shane,Compass,$255.86M,30.5,Aspen,CO
32,Christopher Karas,Compass,$253.96M,76,Scottsdale,AZ
33,Murali Sunkara,Virtual Properties Realty,$250.22M,440,Duluth,GA
34,Nancy Kogevinas,Berkshire Hathaway HomeServices California Properties,$248.65M,39,Montecito,CA
35,Dana Koch,Corcoran,$246.97M,20.8,Palm Beach,FL
36,Matt Menard,ERA Experts,$245.73M,527,Austin,TX
37,Joshua Peters,Realty ONE Group,$243.61M,39,Scottsdale,AZ
38,Kristen Routh-Silberman,Douglas Elliman,$239.76M,51.6,Las Vegas,NV
39,Sandro Dazzan,The Agency,$234.70M,13,Malibu,CA
40,Melissa Dailey,Coldwell Banker Realty,$234.16M,87.3,Wellesley,MA
41,Shana Rohde-Lynch,Compass,$233.66M,52,Tiburon,CA
42,Paul Grover,Berkshire Hathaway HomeServices Robert Paul Properties,$232.12M,54,Barnstable,MA
43,Scott Grigg,Grigg's Group powered by The Altman Brothers,$226.01M,76,Phoenix,AZ
44,Jordan Cohen,RE/MAX One,$225.70M,49,Westlake Village,CA
45,Jason Saphire,HomeZu.com,$219.29M,342,Sharon,MA
46,Linda May,Carolwood Estates,$218.00M,12,Beverly Hills,CA
47,Cathy Franklin,Corcoran,$215.13M,28,Manhattan,NY
48,Jennifer Zales,Coldwell Banker Realty,$210.06M,54.5,Tampa,FL
49,Jordana Leigh,"Rodeo Realty, Inc",$209.34M,23,Beverly Hills,CA
50,Lisa Simonsen,Brown Harris Stevens,$206.18M,15,New York,NY
51,Mandy Welgos,Aspen Snowmass Sotheby's International Realty,$206.05M,10,Aspen,CO
52,Kathy Bridgman,Compass,$203.71M,38,Los Altos,CA
53,Jacqueline Thompson,Surterre Properties,$201.19M,24,Newport Beach,CA
54,Matthias Fretz,Douglas Elliman,$197.22M,36,Jupiter,FL
55,David Lillo,DPL Real Estate,$197.16M,97,Cupertino,CA
56,Carrie McCormick,@properties Christie's International Real Estate,$197.01M,155,Chicago,IL
57,Liz Hogan,Compass,$193.82M,49,Miami,FL
58,Laura Sweeney,Compass,$193.57M,44,Houston,TX
