Rank,Name,Company,Volume,Sides,City,State
2682,Steve O'Brien,REMAX Professionals,$35.04M,115,Reno,NV
2683,Janis Hartley,Compass,$35.04M,34,Lake Geneva,WI
2684,Philip Schembra,Schembra Real Estate Group,$35.04M,17,Hilton Head Island,SC
2685,Joel Stieber,Keller Williams Bay Area Estates,$35.04M,22.5,Los Gatos,CA
2686,Jason Moon,Keller Williams,$35.03M,36.3,Walnut Creek,CA
2687,Ramon Sanchez,CENTURY 21 Allstars,$35.03M,44.4,Pico Rivera,CA
2688,Louise Buehler,Douglas Elliman,$35.03M,5,Boca Raton,FL
2689,Shantih Moriarty,Redfin,$35.02M,22,San Jose,CA
2690,Rob DeContreras,Keller Williams,$35.01M,7.3,Burlingame,CA
2691,Jimmy Dye,The Cassina Group,$34.99M,13.5,Mount Pleasant,SC
2692,Francis Fineo,Douglas Elliman,$34.98M,7,Bridgehampton,NY
2693,Joe Ventura,Corcoran Icon Properties,$34.97M,23,San Jose,CA
2694,Austin Klar,Vanguard Properties,$34.97M,15,San Francisco,CA
2695,Sherry Irvin,Premier Sotheby's International Realty,$34.97M,13.5,Naples,FL
2696,Tricia Cox,Berkshire Hathaway HomeServices Meadows Mountain Realty,$34.96M,31,Cashiers,NC
2697,Scott Lincicome,Better Homes and Gardens Real Estate Lifestyle Property Partners,$34.96M,55,Pinehurst,NC
2698,Marilyn Wright,Premier Sotheby's International Realty,$34.96M,23,Asheville,NC
2699,Clayton Wolfe,The Agency,$34.96M,20,Scottsdale,AZ
2700,Laura Halliday,Realogics Sotheby's International Realty,$34.95M,11.6,Seattle,WA
2701,Lizbeth Alarcon,eXp Realty,$34.95M,55,Fairfield,CA
2702,Alison Simon,Keller Williams,$34.95M,82,Philadelphia,PA
2703,Thomas Cheves,Coldwell Banker Caine,$34.94M,35,Greenville,SC
2704,Lauren Ramsey,Compass,$34.94M,13,Mill Valley,CA
2705,Fion Yau,Keller Williams,$34.93M,38.5,Burlingame,CA
2706,Dora Chu,Keller Williams,$34.93M,14,Cupertino,CA
2707,Meghan O Clarkson,Long & Foster Real Estate,$34.92M,102.4,Chincoteague,VA
2708,Gary Bobolsky,"Sotheby's International Realty, Inc.",$34.91M,35,Santa Fe,NM
2709,JB DosSantos,Brown Harris Stevens,$34.91M,8,East Hampton,NY
2710,Rebecca Schumacher,"Sotheby's International Realty, Inc.",$34.89M,10,San Francisco,CA
2711,Kelly Rosen,Keller Williams,$34.89M,50,Suwanee,GA
2712,Dawn Schwartz,Douglas Elliman,$34.88M,19,Boca Raton,FL
2713,Paige Covington,Christie's International Real Estate First Coast,$34.88M,52,Saint Johns,FL
2714,Jada Turner,Berkshire Hathaway HomeServices Smith Mountain Lake Real Estate,$34.87M,33,Hardy,VA
2715,Robin Hamilton,REMAX Gold,$34.87M,44,Penn Valley,CA
2716,Mckenzie Howarth,Coldwell Banker Realty,$34.87M,21.8,Chestnut Hill,MA
2717,Kim Deol,Intero Real Estate Services,$34.86M,29,Pleasanton,CA
2718,Paul Dawson,Compass,$34.86M,12,Brooklyn,NY
2719,Juli Udem,Douglas Elliman,$34.86M,3,Beverly Hills,CA
2720,Scott Peck,eXp Realty,$34.85M,17,Solana Beach,CA
2721,Loretta Napalan,eXp Realty,$34.84M,52,Puyallup,WA
2722,Marie Hirschle,Baird & Warner,$34.83M,38,Evanston,IL
2723,Barri Plawker,Howard Hanna Rand Realty,$34.83M,17.4,Englewood Cliffs,NJ
2724,Kathy Murray,Coldwell Banker Realty,$34.82M,29.6,Westwood,MA
2725,Teresa Hill,Berkshire Hathaway HomeServices PenFed Realty Texas,$34.81M,61,Southlake,TX
2726,Darrell Done,Coldwell Banker Realty,$34.80M,14.4,Pasadena,CA
2727,Craig Shapiro,Redfin,$34.79M,14,Beverly Hills,CA
2728,Missy Barnes,Compass,$34.78M,14,Newport Beach,CA
2729,Christine Johnson,REMAX One,$34.78M,92,Plainfield,CT
2730,Kelly Richter,EXIT Realty Premier Elite,$34.78M,64,Lake Worth,FL
2731,Gernelle Bokuniewicz,Lively Real Estate,$34.76M,67,Debary,FL
2732,Anthony Lam,Redfin,$34.73M,33,Alexandria,VA
2733,Robin Realini,Coldwell Banker Realty,$34.72M,25,Morgan Hill,CA
2734,Gabriella Fracchia,Compass,$34.72M,16,San Francisco,CA
2735,Deborah Lettieri,Signature Premier Properties,$34.72M,34,Smithtown,NY
2736,Terry Perlmutter,Barrett Sotheby's International Realty,$34.70M,19,Concord,MA
2737,Matt Johnson,Compass,$34.68M,22,Wayzata,MN
2738,Gabrielle Russo,Coldwell Banker Realty,$34.67M,28.8,Boston,MA
2739,Dan Tapia,John L. Scott Redmond,$34.67M,32,Redmond,WA
2740,Helen Graham,Long Realty Company,$34.65M,57,Tucson,AZ
2741,John Gandolfo,Coldwell Banker American Homes,$34.65M,38,Oceanside,NY
2742,Tori Harrison,"Sotheby's International Realty, Inc.",$34.65M,38,Sandwich,MA
2743,Brandon E. Kim,List Sotheby's International Realty,$34.64M,8.6,Honolulu,HI
2744,Dev Parikh,"Sotheby's International Realty, Inc.",$34.64M,24,Berkeley,CA
2745,Rae Zhang,REMAX Champions,$34.63M,40,Upland,CA
2746,Amy Beachy,Coldwell Banker Realty,$34.63M,85.7,Lancaster,PA
2747,Sharon Wang,Keller Williams,$34.61M,16.9,Cupertino,CA
2748,Ken Riel,Compass,$34.60M,39,Charlotte,NC
2749,Justin Joseph,LIV Sotheby's International Realty,$34.59M,31.1,Denver,CO
2750,Julia Almgren,HomeSmart,$34.59M,84,Scottsdale,AZ
2751,Laura Zietz,LIV Sotheby's International Realty,$34.58M,26.5,Winter Park,CO
2752,Sarah B. Minardi,Saunders & Associates,$34.58M,16,East Hampton,NY
2753,Robby Sutton,The Beverly Hills Estates,$34.57M,8,West Hollywood,CA
2754,Assaf Avissar,Coldwell Banker West,$34.57M,23,San Diego,CA
2755,DeeAnn Bos,Berkshire Hathaway HomeServices Montana Properties,$34.57M,42,Bozeman,MT
2756,Deirdre DeVita,"Sotheby's International Realty, Inc.",$34.57M,10,Southampton,NY
2757,Sujatha Bhaskara,eXp Realty,$34.56M,39,Morganville,NJ
2758,Wemmy Collins,Redfin,$34.56M,70,Upper Marlboro,MD
2759,Megan McSherry,Houlihan Lawrence,$34.56M,21,Bronxville,NY
2760,Roseanna Tedone,Houlihan Lawrence,$34.55M,17,Scarsdale,NY
2761,Heather Mackey,Mackey Realty,$34.55M,22.8,Charlotte,NC
2762,Tara Riggs,REMAX Alliance,$34.54M,82,Edwardsville,IL
2763,Tammy Tinnerello,William Pitt Sotheby's International Realty,$34.53M,25,Old Lyme,CT
2764,Rachel Lieberman,Berkshire Hathaway HomeServices Commonwealth Real Estate,$34.52M,31,Wellesley,MA
2765,Carol Thompson,Keller Williams,$34.52M,25,Plano,TX
2766,Lisa Nishwitz,Coldwell Banker Heritage,$34.52M,93,Vandalia,OH
2767,Paul Brutoco,Engel & Völkers Dana Point,$34.51M,14.2,Dana Point,CA
2768,Michael Gordon,Corcoran,$34.50M,10,New York,NY
2769,Travis Close,Real Estate Partners Chattanooga LLC,$34.50M,33.5,Signal Mountain,TN
2770,Jenny Smith,Keller Williams,$34.46M,25,Bethany Beach,DE
2771,Kyle Basnar,The Group Real Estate,$34.46M,48,Fort Collins,CO
2772,Justin Perry,Coldwell Banker Legacy Group,$34.45M,43.5,Bowling Green,KY
2773,Ellen Schwartz,Julia B. Fee Sotheby's International Realty,$34.44M,26,Bedford,NY
2774,Casey Gordon,Rodeo Realty,$34.43M,28,Calabasas,CA
2775,Felicia Captain,Coldwell Banker Realty,$34.42M,20,Wellesley,MA
2776,Evelyn Dean,REMAX Elite,$34.41M,98,Conway,AR
2777,Zamira Solari,Compass,$34.41M,15,San Anselmo,CA
2778,Jerry Sun,REMAX Premier Properties,$34.40M,35,Pasadena,CA
2779,Kasteena Parikh,Martha Turner Sotheby's International Realty,$34.39M,18,Houston,TX
2780,Nick Bowler,REMAX Advantage,$34.39M,56,Chelan,WA
2781,Charlotte Van Doren,Corcoran,$34.39M,11,New York,NY
2782,Stefanie Bloom,Berkshire Hathaway HomeServices Georgia Properties,$34.39M,30,Roswell,GA
2783,Hannah Nates,Compass,$34.38M,38,Houston,TX
2784,Kimberly Filardi,Signature Premier Properties,$34.37M,35.5,Dix Hills,NY
2785,Kendra Miller,Keller Williams,$34.37M,28,Long Beach,CA
2786,Evan Riecke,Encore Sotheby's International Realty,$34.36M,77,Fort Wayne,IN
2787,Alyssa Stanek,Corcoran Sawyer Smith,$34.35M,24,Westfield,NJ
2788,Lisa Vogel,Herlong Sotheby's International Realty,$34.34M,12,Clemson,SC
2789,Bridget Potterton,Keller Williams,$34.33M,35,San Diego,CA
2790,Alexis Meadows,Douglas Elliman,$34.33M,23,Westhampton Beach,NY
2791,Peter Grazioli,Brown Harris Stevens,$34.33M,21,Brooklyn,NY
2792,Marisol Franco,Coldwell Banker Realty,$34.33M,81,Longmeadow,MA
2793,Nycole Lafave,eXp Realty,$34.33M,41,Peoria,AZ
2794,"Liz Lord, J.D.",Compass,$34.32M,32,Arlington,VA
2795,Sarah Morales,eXp Realty,$34.31M,38,Gilbert,AZ
2796,Lori Welsh,Dickson Realty,$34.31M,33,Reno,NV
2797,Leo Goldschwartz,Coldwell Banker Realty,$34.31M,8,Newport Beach,CA
2798,Van Welborn,Redfin,$34.30M,31,Phoenix,AZ
2799,Marybeth Gilmartin-Baugher,Compass,$34.30M,5,Nantucket,MA
2800,Jessica Lentz,eXp Realty,$34.28M,50,Castle Rock,CO
2801,Sam Gupta,eXp Realty,$34.28M,76,Clarksville,MD
2802,Andrea Healey,Aloha Sotheby's International Realty,$34.27M,19,Princeville,HI
2803,Daniel Malechuk,Landmark Sotheby's International Realty,$34.26M,11,Wilmington,NC
2804,Heidi Ludwig,Redfin,$34.26M,31,Hermosa Beach,CA
2805,Katie Penny Shea,Coldwell Banker Bain,$34.25M,14,Mercer Island,WA
2806,Tony Maniaci,Engel & Völkers Dallas Southlake,$34.25M,9.9,Southlake,TX
2807,James Ward,Keller Williams Ocean Living,$34.25M,38.5,Point Pleasant Beach,NJ
2808,Regina Rodriguez,CENTURY 21 Alton Clark,$34.25M,95,Fruitland Park,FL
2809,VIvi Gloriod,eXp Realty,$34.25M,50,Denver,CO
2810,Lisa Dixon,HomeSmart,$34.24M,65,Scottsdale,AZ
2811,Brad Johnson,Keller Williams,$34.23M,88,Dallas,TX
2812,Susan Laskin,Coldwell Banker Realty,$34.22M,38,Hillsdale,NJ
2813,Tania Ferris,Coldwell Banker Realty,$34.22M,7,Beverly Hills,CA
2814,Jette Youngblood,Engel & Völkers Logan,$34.20M,70,Logan,UT
2815,Alex Sobieski,Redfin,$34.20M,24,Pacifica,CA
2816,Angela Yap,REMAX Lakeside,$34.19M,26,Lake Arrowhead,CA
2817,Van Fletcher,Howard Hanna Allen Tate Real Estate,$34.18M,32,Raleigh,NC
2818,Melanie Baker,Zeitlin Sotheby's International Realty,$34.18M,18.3,Nashville,TN
2819,Maria DePasquale,Corcoran Sawyer Smith,$34.17M,41.3,Princeton,NJ
2820,Jeevitha Jayakumar,Keller Williams,$34.17M,15,Cupertino,CA
2821,Suzanne Macnab,REMAX Coastal,$34.15M,58,Bethany Beach,DE
2822,Nita Khosla,Edina Realty,$34.15M,39.5,Minneapolis,MN
2823,Mahshid Caras,Compass,$34.15M,52,Austin,TX
2824,Ruth Boyer O'Dea,TTR Sotheby's International Realty,$34.14M,21.5,Washington,DC
2825,Jaime Richichi,"Sotheby's International Realty, Inc.",$34.13M,5,New York,NY
2826,Kurt Bogart,Endless Summer Realty,$34.11M,92,Saint Augustine,FL
2827,Chris Poore,"Sotheby's International Realty, Inc.",$34.11M,7,New York,NY
2828,Frank Neer,Coldwell Banker Realty,$34.09M,10.3,Cohasset,MA
2829,David McHugh,LIV Sotheby's International Realty,$34.08M,6.8,Beaver Creek,CO
2830,Susan Plummer,Christie's International Aspen Real Estate,$34.08M,4,Aspen,CO
2831,Ross Daniels,Slifer Smith & Frampton Real Estate,$34.07M,10,Aspen,CO
2832,Tad Thompson,Coldwell Banker Realty,$34.06M,55.3,Roseville,CA
2833,Lisa Hargrove,"Coldwell Banker Apex, Realtors",$34.06M,51.5,Shreveport,LA
2834,Janice Burke,Gibson Sotheby's International Realty,$34.05M,1.5,Newton,MA
2835,Charlie Russo,REMAX Signature,$34.05M,68,Katy,TX
2836,Lisa Coulter,Janet McAfee Inc.,$34.04M,31.8,St. Louis,MO
2837,Patty Hinkley,Coldwell Banker Realty,$34.04M,26.5,Katonah,NY
2838,Catherine Bossolina,Prominent Properties Sotheby's International Realty,$34.03M,17,Ridgewood,NJ
2839,Harshini Joshi,Keller Williams,$34.02M,26,Cambridge,MA
2840,Lisa Sockolov,Carolwood Estates,$34.00M,10,Beverly Hills,CA
2841,Russell Harper,"ClearView Realty, LLC",$34.00M,103,El Paso,TX
2842,Connie Gage,Smith & Associates Real Estate,$34.00M,8,Tampa,FL
2843,Sherry Wiggs,Houlihan Lawrence,$34.00M,43,Irvington,NY
2844,Kevin Decosta,"Berkshire Hathaway HomeServices Fox & Roach, REALTORS®",$33.99M,17,Ocean City,NJ
2845,Brian Cook,Phyllis Browning Company,$33.99M,21,Boerne,TX
2846,Stephen Patton,Compass,$33.98M,11,San Francisco,CA
2847,Theza Friedman,Coldwell Banker Realty,$33.97M,36.5,Princeton Junction,NJ
2848,Rami Hansen,Edina Realty,$33.97M,37,Rochester,MN
2849,Andrew Leitheiser,Coldwell Banker Realty,$33.95M,37.6,Honolulu,HI
2850,Gary Bowman,The Agency NWFL Beaches,$33.95M,34,Miramar Beach,FL
2851,Mary Dale,Coldwell Banker Real Estate Group,$33.95M,108,Goshen,IN
2852,Regina Jacobs,The Grubb Company,$33.94M,25,Oakland,CA
2853,Kenny Reisman,The Agency Steamboat,$33.94M,12.5,Steamboat Springs,CO
2854,Ivan Santacruz,Compass,$33.94M,24,Danville,CA
2855,Gary Mooers,Coldwell Banker Island Properties,$33.90M,29,Wailea,HI
2856,Jennifer Bowes,Compass,$33.90M,29,Novato,CA
2857,Betsy Cornell,Corcoran Property Advisors,$33.89M,16.8,Cohasset,MA
2858,Jen Hubbell,Keller Williams,$33.89M,69,Greenville,SC
2859,Gabriel Cole,The Real Brokerage Inc.,$33.89M,17,Newport Beach,CA
2860,Michelle Fanto-Chan,Coldwell Banker Realty,$33.89M,22.4,Danville,CA
2861,Kimberly Hensley,REMAX United,$33.88M,62,Rockford,MI
2862,Joe Holden,Berkshire Hathaway HomeServices Utah Properties,$33.88M,63,Ogden,UT
2863,Austin Partain,William Raveis,$33.87M,44,Milton,MA
2864,Stephanie Savage,Christie's International Real Estate Sereno,$33.87M,20,San Jose,CA
2865,Brett Rice,REMAX Executives,$33.87M,13,Arlington,VA
2866,Daniel McCloskey,REMAX Properties Ltd,$33.87M,40,Newtown,PA
2867,Scott Moore,Christie's International Real Estate Southern California,$33.87M,9,Beverly Hills,CA
2868,Danni Moore,PureWest Christie's International Real Estate,$33.86M,43.5,Missoula,MT
2869,Matt Sorensen,Coldwell Banker Realty,$33.86M,26.2,Encinitas,CA
2870,Lynn Moore,REMAX Executives,$33.86M,70,Nampa,ID
2871,Jennie Parson,LIV Sotheby's International Realty,$33.84M,34.8,Denver,CO
2872,Romy Callahan,Howard Hanna CNY,$33.84M,34.8,Skaneateles,NY
2873,Anwar Nassar,eXp Realty,$33.82M,94,Sunnyside,WA
2874,Danielle Schellenberg,Compass,$33.81M,18,Franklin,TN
2875,Lisa Taylor,Compass,$33.81M,25,Denver,CO
2876,Patti Howard,Compass,$33.81M,14,Armonk,NY
2877,Lisa Warren,Compass,$33.81M,39,Charlotte,NC
2878,David Young,Coldwell Banker Realty,$33.80M,15.9,San Carlos,CA
2879,Drew Russell,Michael Saunders & Company,$33.80M,32.5,Sarasota,FL
2880,Julia Shoemaker,Amherst Madison,$33.80M,33,Eagle,ID
2881,Jenny Jordan,Keller Williams,$33.79M,25,Plano,TX
2882,Alin Glogovicean,Redfin,$33.78M,28,Los Angeles,CA
2883,Pam Spruce,Compass,$33.76M,8,Newport Beach,CA
2884,Mairead Smialek,Coldwell Banker Realty,$33.75M,32,Longboat Key,FL
2885,Noa Levy,eXp Realty,$33.74M,25,Austin,TX
2886,Sara DeWulf,Buy Sell Build QC,$33.72M,112,Bettendorf,IA
2887,Teresa Forte-Greenberg,Keller Williams Prosperity,$33.71M,46,Wayne,NJ
2888,Danny Varona,Realogics Sotheby's International Realty,$33.71M,16.9,Bainbridge Island,WA
2889,Kevin Gillespie,REMAX At the Sea,$33.70M,21,Sea Isle City,NJ
2890,Will Montminy,Berkshire Hathaway HomeServices PenFed Realty,$33.70M,64,Stafford,VA
2891,Peter Stewart,Keller Williams,$33.70M,110,Carmel,IN
2892,Bradley Cohn,Compass,$33.69M,68,Vail,CO
2893,Barbara Ciricillo,Coldwell Banker Prime Properties,$33.69M,69,Liverpool,NY
2894,Scott Patterson,Berkshire Hathaway HomeServices EWM Realty,$33.68M,15,Miami,FL
2895,Mark Morris,Redfin,$33.67M,45,Folsom,CA
2896,Noah McBride,CENTURY 21 Magnolia,$33.66M,113.5,Evans,GA
2897,Wendy Oliver,Coldwell Banker Realty,$33.66M,47,Annapolis,MD
2898,Michele Hart,Slifer Smith & Frampton Real Estate,$33.66M,22,Breckenridge,CO
2899,Elena Bluntzer,ONE Sotheby's International Realty,$33.64M,20.5,Coral Gables,FL
2900,Matt Wallmow,Lakeland Realty,$33.64M,101,Rhinelander,WI
2901,Pat Petrillo,"Sotheby's International Realty, Inc.",$33.63M,4,Southampton,NY
2902,Gayle Terry,Windermere Manito,$33.63M,37,Spokane,WA
2903,Chris DeNike,"Sotheby's International Realty, Inc.",$33.62M,3,San Francisco,CA
2904,Jung Kim,Berkshire Hathaway HomeServices Nevada Properties,$33.62M,43,Las Vegas,NV
2905,Julie Pierce Casey,Pacific Sotheby's International Realty,$33.61M,20,Rancho Santa Fe,CA
2906,Marcus Robinson,Coldwell Banker Realty,$33.61M,13.8,Mill Valley,CA
2907,Danielle Goheen,Keller Williams,$33.61M,24,Kirkland,WA
2908,Jin Wickwire,eXp Realty,$33.61M,41,Tucson,AZ
2909,Jane Henderson Kenyon,Callaway Henderson Sotheby's International Realty,$33.61M,26.3,Princeton,NJ
2910,Alexis Zibolis,Coldwell Banker Realty,$33.60M,45.4,Lakewood Ranch,FL
2911,Deborah James,SERHANT.,$33.60M,13,Red Bank,NJ
2912,Linda Lee,Keller Williams,$33.59M,28,La Jolla,CA
2913,Senad Ahmetovic,Brown Harris Stevens,$33.58M,17,New York,NY
2914,Craig Marson,First Team Real Estate,$33.58M,42,Seal Beach,CA
2915,Gabriella Sutro,Coldwell Banker Mason Morse,$33.58M,19,Carbondale,CO
2916,Amy Barsanti,William Pitt Sotheby's International Realty,$33.58M,16.3,Darien,CT
2917,Johnathon De Young,Russ Lyon Sotheby's International Realty,$33.56M,3.3,Scottsdale,AZ
2918,Janet Ramirez,Better Homes and Gardens Real Estate Integrity Real Estate,$33.55M,65.9,Stockton,CA
2919,Dana Griscom,Compass,$33.55M,25.6,Nashville,TN
2920,Sharon Sheil,Coldwell Banker Realty,$33.55M,55.8,Somers,NY
2921,Estel Hilton,The Beverly Hills Estates,$33.54M,6,West Hollywood,CA
2922,Bedros Bozdogan,Keller Williams,$33.53M,45.5,Knoxville,TN
2923,Luca Volpe,Realty Trust,$33.52M,28,Palm Springs,CA
2924,Melissa Alt,Douglas Elliman,$33.52M,9,Brentwood,CA
2925,Vasilis Kokoris,Compass,$33.52M,65,Astoria,NY
2926,Jeff Rosenbloom,Red Oak Realty,$33.51M,26,Oakland,CA
2927,Joshua Baris,Coldwell Banker Realty,$33.51M,14,Fort Lee,NJ
2928,Holly Danna,Compass,$33.50M,24,Palos Verdes,CA
2929,Hanna Shacham,Coldwell Banker Realty,$33.50M,4,Menlo Park,CA
2930,Heather Dene,Compass,$33.49M,12,Saint Helena,CA
2931,Charly Daoud,eXp Realty,$33.49M,77,Palmdale,CA
2932,David Hokenson,Redfin,$33.47M,43,Renton,WA
2933,Alan Chargin,Keller Williams,$33.47M,44,Washington,DC
2934,Jacquelin Perry,Summit Sotheby's International Realty,$33.46M,40.2,Salt Lake City,UT
2935,Ashley Shi,E3 Realty,$33.46M,18,Santa Clara,CA
2936,Caroline Billipp,Greenwood King Properties,$33.45M,25,Houston,TX
2937,Sarah Hake,Compass,$33.44M,18,Washington,DC
2938,Shannon Sullivan,Douglas Elliman,$33.44M,6,Houston,TX
2939,Meg Greenwood Rife,Greenwood King Properties,$33.43M,32,Houston,TX
2940,Kiley Flint,LIV Sotheby's International Realty,$33.42M,15,Crested Butte,CO
2941,Tim Goodacre,milehimodern,$33.41M,16,Boulder,CO
2942,Sule Haskell,Douglas Elliman,$33.41M,5,New York,NY
2943,Erin Brady,C3 Real Estate Solutions,$33.40M,59.5,Johnstown,CO
2944,Beth Schultz,Dielmann Sotheby's International Realty,$33.40M,43.8,Saint Louis,MO
2945,Rigo Bracamontes,Intero Real Estate Services,$33.39M,30,East Valley,CA
2946,Julie Thompson,REMAX Farm & Home,$33.37M,146,Mountain Grove,MO
2947,John Diaz,IS LUXURY Real Estate,$33.36M,25,Las Vegas,NV
2948,Amanda Mickelsen,Keller Williams,$33.36M,66,West Des Moines,IA
2949,Ron Mangas Jr.,TTR Sotheby's International Realty,$33.36M,25.4,McLean,VA
2950,Eileen Giger,Compass,$33.35M,25,Franklin,TN
2951,Lourdes Moscoso,eXp Realty,$33.35M,78,Lilburn,GA
2952,Jamie Hawkins Casey,Compass,$33.35M,37.6,Nashville,TN
2953,Sarah Bennett,Better Homes and Gardens Real Estate Medley,$33.34M,60.4,West Columbia,SC
2954,Todd Broomhall,Keller Williams,$33.34M,106,Vandalia,OH
2955,Justin Rivers,eXp Realty,$33.33M,99,Auburn,AL
2956,Noele Stinson,Coldwell Banker Realty,$33.32M,58.3,Conshohocken,PA
2957,Shirl Thornton,REMAX Horseshoe Bay Resort Sales Co.,$33.31M,23,Horseshoe Bay,TX
2958,Lynn Walsh,Coldwell Banker Realty,$33.31M,47,Leominster,MA
2959,Lei Ann Werner,Golden Gate Sotheby's International Realty,$33.30M,15.7,Greenbrae,CA
2960,Howard Goldberg,REMAX Consultants Realty I,$33.30M,41,Fort Lauderdale,FL
2961,Chad Van Horn,Beacon Sotheby's International Realty,$33.29M,20.5,Saugatuck,MI
2962,Jason Freedman,REMAX Properties Ltd,$33.27M,50,Newtown,PA
2963,Shelley Shepard,Berkshire Hathaway HomeServices Beach Properties of Florida,$33.27M,35,Saint George Island,FL
2964,Debra Elliott,Keller Williams,$33.27M,61,Edmond,OK
2965,Leena Agnihotri,Compass,$33.27M,15,Wellesley,MA
2966,Cindy Chin,The Real Brokerage Inc.,$33.26M,5,Irvine,CA
2967,Heather Christensen,"Keller Williams Realty DTC, LLC",$33.26M,51.4,Centennial,CO
2968,Andrea O'Reilly,Keller Williams,$33.26M,35.5,Beverly,MA
2969,Elizabeth McNulty,Compass,$33.25M,22.2,New Orleans,LA
2970,Kay McGrath King,"Washington Fine Properties, LLC",$33.25M,22,Washington,DC
2971,Jack Miller,Onward Real Estate,$33.25M,25,Franklin,TN
2972,Kerry Fortune,"Washington Fine Properties, LLC",$33.24M,24,Washington,DC
2973,John Haydu,Keller Williams,$33.22M,21,Upper Montclair,NJ
2974,Sean Smith,Keller Williams,$33.21M,50.5,Chattanooga,TN
2975,Marcos Cohen,Douglas Elliman,$33.20M,9,New York,NY
2976,Kathy Voss,Redfin,$33.20M,40,Renton,WA
2977,Tanya Gersh,PureWest Christie's International Real Estate,$33.20M,12,Whitefish,MT
2978,Renee Rossi,Redfin,$33.20M,29,Issaquah,WA
2979,Rick Prokup,"The Danberry Co., Realtors",$33.19M,87,Perrysburg,OH
2980,Forrest Moody,Redfin,$33.19M,37,Seattle,WA
2981,Meredith Tomascak,Corcoran HM Properties,$33.19M,14,Charlotte,NC
2982,Corey Graham,Sun Valley Sotheby's International Realty,$33.18M,10,Ketchum,ID
2983,Anita Sabates,Howard Hanna Allen Tate Real Estate,$33.18M,22,Cornelius,NC
2984,Ari Albinder,The Keyes Company,$33.18M,9.8,Boca Raton,FL
2985,Talaat Elkaray,Keller Williams,$33.17M,29,East Elmhurst,NY
2986,Jeff Adler,Corcoran,$33.16M,7.5,New York,NY
2987,Keith Harris,Pines Sotheby's International Realty,$33.15M,31.6,Southern Pines,NC
2988,Dawn Mercer,Keller Williams,$33.14M,57,Fall River,MA
2989,Arlene Schuman,REMAX Results,$33.12M,61,Rochester,MN
2990,Tim Schneider,The Cassina Group,$33.12M,15,Mount Pleasant,SC
2991,Robert Rapp,Compass,$33.12M,22,Petaluma,CA
2992,Casey Miller,LIV Sotheby's International Realty,$33.11M,29.8,Denver,CO
2993,Peter Stuart,Houlihan Lawrence,$33.10M,10,Darien,CT
2994,Jill Cole,Coldwell Banker Realty,$33.10M,20,Los Gatos,CA
2995,Ryan Grob,eXp Realty,$33.09M,36,Folsom,CA
2996,Canon Caruso,eXp Realty,$33.09M,28,Bend,OR
2996,Tammy Caruso,eXp Realty,$33.09M,28,Bend,OR
2998,Josh Waggoner,Long Realty Company,$33.09M,31,Tucson,AZ
2999,Simon Kiang,REMAX Accord,$33.08M,21,Fremont,CA
3000,Golie Oheb,Daniel Gale Sotheby's International Realty,$33.08M,13.4,Wheatley Plaza,NY
3001,Janet Caterson Price,Corcoran McEnearney,$33.07M,22.5,Alexandria,VA
3002,Nick Younker,William Raveis,$33.05M,6,Palm Beach,FL
3003,Patricia Mahaney,"Sotheby's International Realty, Inc.",$33.04M,14,Palm Beach,FL
3004,Chloe Johnson,Engel & Völkers Park City,$33.04M,15.2,Park City,UT
3005,Julie Barnett,Mountain Sotheby's International Realty,$33.04M,31,Clayton,GA
3006,Scott Angelo,eXp Realty,$33.02M,85,Alexander,NC
3007,Eric Tam,Compass,$33.02M,15,Boston,MA
3008,Cynthia Baer,Keller Williams Realty Metro Atlanta,$33.02M,45.6,Atlanta,GA
3009,Holley Carlson,The Agency Port Townsend,$33.00M,43,Port Townsend,WA
3010,Alitza Vagenknechtova,LIV Sotheby's International Realty,$33.00M,1,Vail,CO
3010,Sean Manning,OverSouth,$33.00M,41.5,Sayville,NY
3012,Bea Murphy,Lamacchia Realty,$33.00M,56,Braintree,MA
3013,Lisa Ruffolo,ERA Naples Realty Services,$32.99M,14,Naples,FL
3014,Lori Schneck,Coldwell Banker Realty,$32.96M,17.5,Excelsior,MN
3015,Milana Sadykova,Daniel Gale Sotheby's International Realty,$32.95M,18.7,Great Neck,NY
3016,Sandy Hansel,Engel & Völkers Naples,$32.95M,24.3,Naples,FL
3017,Diego Valencia,Compass,$32.93M,10,Miami,FL
3018,Helen Trybus,Long & Foster Real Estate,$32.93M,26.5,Bethesda,MD
3019,Logan Walter,Keller Williams,$32.92M,52.3,Dallas,TX
3020,Leigh Amigo,Keller Williams,$32.92M,56.1,Southern Pines,NC
3021,Susan Barton,Premier Sotheby's International Realty,$32.91M,8,Naples,FL
3022,Heather Booth,Berkshire Hathaway HomeServices Bay Street Realty Group,$32.90M,29,Savannah,GA
3023,Erin Mehler,eXp Realty,$32.90M,37,Lehi,UT
3024,Layching Quek,Redfin,$32.90M,42,Chicago,IL
3025,Anne Spencer,Corcoran HM Properties,$32.90M,27.5,Charlotte,NC
3026,Pauline Cheng,REMAX Premier Properties,$32.89M,20,Arcadia,CA
3027,Eileen Taggart,REMAX Fine Properties,$32.88M,39,Flagstaff,AZ
3028,Naomi Selick,Douglas Elliman,$32.87M,9,Beverly Hills,CA
3029,Stacy Spielman,Douglas Elliman,$32.87M,17,New York,NY
