Rank,Name,Company,Volume,Sides,City,State
83,Bridget Ramey,Kuper Sotheby's International Realty,$196.13M,41,Austin,TX
84,Michael LaPay,Summit Sotheby's International Realty,$193.19M,38.8,Park City,UT
85,Josh Rubin,Compass,$192.26M,37,Menlo Park,CA
86,Chris Adlam,Vista Sotheby's International Realty,$191.17M,56.9,Palos Verdes Estates,CA
87,Christopher Karas,Compass,$190.50M,68,Scottsdale,AZ
88,Michael Latousek,Douglas Elliman,$190.06M,7,Aspen,CO
89,Erika Demma,Compass,$188.91M,25,Woodside,CA
90,Brian Lewis,Compass,$188.90M,125,Manhattan,NY
91,Shelly Lynch,Carmel Realty Company,$188.36M,34,Carmel,CA
92,Stephanie Vitacco,Equity Union Real Estate,$187.66M,162.4,Los Angeles,CA
93,Mike Mahlstedt,Compass,$186.11M,54,Houston,TX
94,Pollena Forsman,Houlihan Lawrence,$183.39M,59,Larchmont,NY
95,Joshua Deitch,Coldwell Banker Realty,$183.28M,47,Mill Valley,CA
96,Hayden Anderl,Coldwell Banker Schneidmiller Realty,$182.49M,151,Coeur d'Alene,ID
97,Dan Wolski,Russ Lyon Sotheby's International Realty,$179.73M,66.5,Scottsdale,AZ
98,Joseph Barbieri,"Sotheby's International Realty, Inc.",$179.38M,21,Greenwich,CT
99,Lourdes Alatriste,Douglas Elliman,$178.97M,13,Coral Gables,FL
100,Taylor Canada,Gulf Coast International Properties,$178.65M,16.5,Naples,FL
101,Mick Partridge,Carolwood Estates,$178.00M,6,Beverly Hills,CA
102,Ginger Weeks,REMAX DFW Associates VIII,$177.57M,399,Dallas,TX
103,Jon Flagg,Pacific Sotheby's International Realty,$177.51M,32.7,Newport Beach,CA
104,Patrick Leavy,Kidd & Leavy Real Estate,$176.99M,73,Petoskey,MI
105,Charlie Pigott,Corcoran,$176.66M,96.1,Brooklyn,NY
106,Michael Martinez,ONE Sotheby's International Realty,$176.01M,43.1,Coral Gables,FL
107,Brian Milton,Compass,$175.25M,35,Armonk,NY
108,Kathy Broock,Max Broock Realtors,$173.73M,117,Birmingham,MI
109,Chase Mizell,Atlanta Fine Homes Sotheby's International Realty,$173.71M,67.3,Atlanta,GA
110,Amy Deane,Moreland Properties,$173.49M,36,Austin,TX
111,Kim Bibb,Pacific Sotheby's International Realty,$172.65M,36,Newport Beach,CA
